id,type,priority,category,text
63,layoff,Medium,Career,"Even with a brief time at the company, mentioning all that you learned during that time may dispel concerns from future employers."
69,layoff,Medium,Financial,"Your unemployment eligibility is based on the last four calendar quarters before you file your claim. Check your state's specific eligibility."
78,layoff,Medium,Career,"After a long tenure, your identity may be closely tied to your previous job, but you can continue to define and evolve your professional self independent of past roles and associations."
81,layoff,Medium,Career,"After a long tenure, a refreshed professional image can energize and inspire new considerations, such as conferences, courses or certifications for staying competitive in today’s job market."
82,layoff,Medium,Career,"Taking courses or earning certifications in role-adjacent skills can diversify and strengthen your resume and help you stay competitive."
88,layoff,Medium,Financial,"Applying for unemployment benefits promptly can help avoid gaps in income, keeping in mind that your state may have a waiting period to receive payment. Check with your state unemployment office."
90,layoff,Medium,Financial,"As a contractor, it may be worth checking that all payments for completed work are accounted for, including any bonuses outlined in your contract."
92,layoff,Medium,Basics,"If the job loss was unexpected and you think the contract terms were not honored, It may be helpful to consult a legal professional to discuss your options."
93,layoff,Medium,Basics,"If your internship or apprenticeship was part of an academic program, an academic advisor can help you understand any impacts to your academic progress, credit requirements, and next steps."
94,layoff,Medium,Career,"Even if your internship or apprenticeshicp was brief, it’s worth staying in touch with supervisors and colleagues, who can be valuable connections for references or future opportunities."
96,layoff,Medium,Financial,"Part-time employees may still qualify for unemployment benefits, especially when the job was a main income source. Reviewing your state’s guidelines may clarify options."
99,layoff,Medium,Basics,"Union reps can help clarify rights and benefits after a job loss. They may also assist with severance, contract terms, and general guidance."
100,layoff,Medium,Basics,"Reviewing your union's collective bargaining agreement can help clarify protections and benefits related to job loss."
101,layoff,Medium,Career,"Some unions offer job placement, retraining, or legal support. Exploring these options may help with the transition."
102,layoff,Medium,Basics,"Your HR or relocation coordinator can help you determine how long you're allowed to stay in corporate housing after your severance date and let you know if any available extensions are available."
104,layoff,Medium,Basics,"The terms of your housing relocation package may have provisions for covering moving costs back to your original location or to a new one."
116,layoff,Medium,Financial,"Severance pay is taxable and may face higher withholding due to its lump-sum form. Planning ahead can help manage finances."
117,layoff,Medium,Health,"It may help to review your severance package to see if it includes extended payment coverage like COBRA and how long it lasts."
119,layoff,Medium,Financial,"In some cases, negotiating with your employer to receive severance pay may be an option."
120,layoff,Medium,Financial,"Leaving your 401(k) in your employer's plan may mean fewer options or higher fees so explore whether moving your 401(k) to an IRA or to a new employer’s plan would be beneficial."
121,layoff,High,Financial,"If you have a Roth 401K, rolling it over could have tax implications depending on the destination account you roll it into. Consulting a financial advisor can help you make the best choice."
122,layoff,High,Financial,"A 401(k) loan may become due in full with your job loss, so it's essential to understand the repayment terms to avoid penalties."
123,layoff,Medium,Financial,"Failure to repay your 401(k) loan in the required timeframe may result in it being considered a distribution, subject to taxes and early withdrawal penalties."
127,layoff,Medium,Financial,"Selling your company stock could result in capital gains taxes. Carefully planning the sale of your stock can help minimize your tax burden, particularly if you have a significant amount of stock"
128,layoff,High,Financial,"Reviewing your union's collective bargaining agreement can help clarify protections and benefits in the case of job loss."
129,layoff,Medium,Financial,"Reviewing your life insurance beneficiaries can help ensure they’re current, especially after recent life changes."
130,layoff,High,Financial,"Voluntary life insurance is usually an elective benefit that you may be able to continue after your employment for a cost."
131,layoff,Medium,Financial,"If portability of voluntary life insurance isn’t available, exploring individual life insurance may help maintain coverage, especially if you have dependents."
132,layoff,Medium,Financial,"AD&D insurance is often linked to your employment. Depending on your personal and family situation, if you're involved in any high-risk activities, finding a replacement AD&D policy may be a good choice."
135,layoff,Medium,Financial,"If you decide to continue personal accident coverage, a comparison of costs and benefits with other available policies can help you find more affordable, equivalent coverage."
140,layoff,Medium,Financial,"Some transportation benefits can be continued after employment."
141,layoff,Medium,Financial,"It's worth checking if you have a usable balance on your pre-tax commuter benefits (transit passes, parking accounts). Some plans allow for reimbursement of unused funds for eligible expenses incurred before the termination date."
142,layoff,Medium,Financial,"Typically, a full mileage reimbursement must be submitted before your last day of employment. Check with your employer if this might apply to you."
153,layoff,High,Financial,"It might be worth taking on the cost of professional memberships that your company paid for to continue valuable networking and job opportunities."
157,layoff,Medium,Career,"If your company paid for an external coach and you benefited professionally, it might be worth taking on this cost as an investment in your career and personal development."
158,layoff,Medium,Career,"Free career counseling services or peer mentoring can be a good, temporary replacement for paid coaching so you can continue your professional development."
164,layoff,Medium,Financial,"Student loan payments without company support may be manageable by adjusting your budget and working with your lender to reduce or defer your payments."
165,layoff,High,Financial,"Reviewing and updating any autopayments now can help avoid insufficient funds and fees."
168,layoff,Medium,Health,"Some health plans allow for continued fertility treaments via COBRA. Discuss with your HR rep."
174,layoff,Medium,Financial,"Switching internet / phone providers or downgrading your plan to a lower-tier, pre-paid, or pay-as-you-go plan can help you control mobile phone costs."
181,layoff,Medium,Financial,"Employers sometimes offer departing employees discounted access to software and apps, such as Microsoft Office Suite, and others."
184,layoff,Medium,Basics,"Losing employer-sponsored immigration assistance may affect your visa status or application process so checking with an immigration representative or attorney is essential."
186,layoff,Medium,Financial,"Reviewing your upcoming travel plans and your own risk tolerance can help assess whether you need to secure your own travel insurance."
189,layoff,Medium,Health,"Community centers, local parks, meetups, and online fitness programs can be free or low-cost alternatives to your lost employer-sponsored gym membership or wellness benefits."
196,layoff,High,Basics,"Keeping your visa and passport up to date are essential for getting hired at your next job, and may be necessary for travel to interviews."
197,layoff,Medium,Basics,"You have 60 days from last pay period (60 day grace period) to change employers and still maintain status."
198,layoff,Medium,Basics,"To avoid unlawful presence, you must maintain your visa status even after job loss."
200,layoff,Medium,Basics,"With your employer-sponsored visa, your employer is required to pay return travel costs if your termination is involuntary."
203,layoff,Medium,Basics,"Your H-3 visa is unique to your specific employer – changing employers will not maintain your status."
204,layoff,Medium,Basics,"Even with a 60-day grace period to change employers to maintain status, it's extremely unlikely that you'll qualify for an L1 visa with another employer. Consulting with an immigration attorney as soon as possible is advisable."
206,layoff,High,Basics,"Your P-visa can be unique to your specific employer so finding a new employer may not maintain your status. Consulting with an immigration attorney as soon as possible is advisable."
207,layoff,High,Basics,"If your R visa is used for your next employer, your new position will need to be the same as or similar to the position you're leaving."
208,layoff,High,Basics,"If you change employers, your visa petition must be approved before your start date, and your new role must be one that's approved for a TN visa."
209,layoff,High,Basics,"Maintaining your visa status after your job loss depends on your stage in the F-1 or M-1 process. A Designated School Official (DSO) can help with dates and requirements."
210,layoff,Medium,Basics,"If you have OPT work authorization, it requires ""productive work,"" but not pay. So even if you volunteer, your work must be defined as productive."
211,layoff,Medium,Basics,"If you're on OPT STEM work authorization, pay is required to show maintenance of your OPT STEM authorization status."
212,layoff,Medium,Basics,"If you have CPT work authorization, to maintain your CPT status you only need to maintain your full-time status at the university. Work isn't required."
213,layoff,Medium,Basics,"Being mindful of your I-94 expiration date is critical, especially for entry to the United States."
214,layoff,Medium,Basics,"Your particular visa allows you to freely change employers to any position, any occupation and still maintain your visa status."
215,layoff,Medium,Basics,"If your visa status is dependent on your spouse, your work authorization and status will be impacted if your spouse leaves the United States, can't maintain their status for any reason, or you divorce."
216,layoff,High,Basics,"With your particular visa, unlawful presence begins to accrue as soon as you lose your job."
217,layoff,Medium,Basics,"With your particular visa, the foreign residency requirement is a 2-year period in your home country before you can change status or re-enter on another status."
221,layoff,Medium,Basics,"Until your I-485 is approved, you'll need to have access to all of your immigration-related paperwork. If you don't have copies, contact your immigration attorney."
223,layoff,Medium,Basics,"If you're on OPT you're allowed 90 days of being unemployed for the full 1 year of work authorization, If you're on OPT STEM, you're allowed 150 days of being unemployed in total between your OPT and OPT STEM combined. Consulting with your school will help you understand your options."
435,layoff,Medium,Financial,"Making new arrangements now for any child / spousal support automatic pay deductions can help you stay in compliance with the courts."
436,layoff,Medium,Health,"Benefits coverage changes can impact medical visits and more for children, especially high-school age children who require medical sign-off to participate in sports."
437,layoff,High,Health,"If your adult children are in the workforce and will lose benefits due to your job loss, they may be eligible for their company’s benefits outside of open enrollment. They should discuss entitlements with their HR team."
438,layoff,Medium,Financial,"Dependent care accounts (DCA) typically have an expiration date for submitting receipts."
439,layoff,Medium,Health,"You can request additional COBRA coverage for help dealing with a serious mental or physical illness or an accident that involves you or a dependent."
440,layoff,High,Financial,"Some companies will provide the value in cash for outplacement services you don't use."
441,layoff,High,Property,"Before returning your company laptop, allow time to access any special portals set up by your employer or retrieve approved digital files. Some employers will require those activities only be done from a company laptop."
442,layoff,High,Property,"If you have mail at your company, you may want to pick it up in person if you don't trust them to forward it to you."
443,layoff,High,Financial,"You may be able to use your company discounts to purchase laptops & phones if you have proof you recently worked at the company."
444,layoff,High,Financial,"When buying a new phone, many US carriers offer discounts for additional lines so it may be economical to share a plan with family or friends."
445,layoff,High,Property,"Companies can't ship your personal alcohol, flammable liquids, prescription medications, and other items that violdate local laws or shipping regulations so they'll need to be picked up."
446,layoff,High,Social,"Reaching out to local or online groups similar to any ERGs you belonged to at work can provide support and connection."
447,layoff,High,Career,"Volunteering can be a great way to learn something new, connect with like-minded peope, network, and prevent isolating."
448,layoff,High,Health,"Self-care is so important to well-being and a clear head for job interviews. Fun, inventive, and creative activities, especially those you may have put off because of work, can create balance and energize your job search."
452,layoff,High,Health,"If your children 18-26 are not dependents, they typically can't be covered by your Marketplace Exchange (ACA) insurance plans, but they can be covered by COBRA."
454,layoff,High,Health,"To ensure COBRA or any new insurance coverage for your new child, your child must be enrolled within 30 days."
455,layoff,Medium,Financial,"Severance packages can sometimes be negotiated to cover reamining maternity or paternity leave."
456,layoff,Medium,Career,"You can contiue mentoring former work mentees, if you all agree, as long as you don't discuss anything confidential to your former employer."
457,layoff,Medium,Property,"Some companies will allow you to keep any large office furniture items rather than pay the cost for you to return it."
458,layoff,Medium,Career,"If you initiated or had a leading role or significant achievements/outcomes in any ERGs you belonged to, they'll make noteworthy additions to your resume and LinkedIn."
459,layoff,High,Health,"Having the right support is critical right now. Your EAP benefits can be a great resource to discuss issues before coverage ends."
460,layoff,Medium,Health,"If the company you're leaving is entering bankruptcy, COBRA will eventually end and you'll need to find a new health plan."
462,layoff,Medium,Health,"Each qualified beneficiary has an independent right to elect COBRA coverage, meaning spouses and dependent children can make their own decisions about whether to enroll."
463,layoff,Medium,Health,"COBRA coverage can be retroactive, meaning it can start on the first day of the qualifying event, such as a job termination, even if enrollment is delayed."
465,layoff,Medium,Financial,"If you currently receive Social Security payments you can still collect any unemployment benefits you qualify for."
466,layoff,Medium,Financial,"If you received a severance package or draw a pension from your company, your unemployment compensation payment amount may be reduced."
467,layoff,Medium,Health,"Anyone 65 or older has the option to apply for Original Medicare or buy a Medicare Advantage (Part C) plan through a private carrier."
472,layoff,High,Financial,"BenefitsCheckUp® (benefitscheckup.org) connects millions of older adults and people with disabilities with benefits programs that can help them afford nutritious food, health care, and more."
473,layoff,High,Financial,"Some landlords, especially large companies, may allow delayed or partial rent payments."
475,layoff,High,Financial,"Many banks offer mortgage relief programs or allow borrowers to temporarily postpone payments. Federally-backed mortgages may qualify for forbearance and allow you to postpone payments for up to a year, or in some cases, 18 months."
476,layoff,High,Financial,"Options for mortgage relief, such as your state's Homeowner's Assistance Fund program, may be available. Your state may also have a housing counselor you can talk to, to learn more about assistance."
477,layoff,High,Financial,"Many auto companies and other lenders have emergency programs that will let you defer payments for a month or more."
478,layoff,Medium,Financial,"While spousal support is calculated on previous income, the court will consider your change in income when calculating or determining whether to award alimony."
479,layoff,Medium,Financial,"A job loss can change which spouse has the higher income and may switch who has to pay support and who will be awarded support."
486,layoff,Medium,Financial,"While job loss can be stressful, it's important to consider how divorce decisions will impact your future. Consult an attorney and don't rush into an unfair settlement."
487,layoff,High,Health,"Generally, employers aren't legally obligated to continue fertility benefits after termination, but they may choose to support employees during a difficult time. Your employer can share how your fertility benefits will be impacted."
488,layoff,High,Financial,"FindHelp.org is a zipcode-based service that can help you find free or reduced-cost resources like food, housing, financial assistance, health care, and more in your area."
489,layoff,Medium,Basics,"You may have to be responsible for taking over the tasks your leave management company was handling. Check with your leave management firm."
